Problems
Afraid of fake products
Too busy/lazy to go out
Too busy/lazy to go out
Too busy/lazy to go out
Limited budget
Limited budget
Wanted product is out of stock
Wanted product is out of stock
Wanted product is out of stock
Wanted product is out of stock
Wanted product is out of stock
Wanted product is out of stock
Wanted product is out of stock
Uncertain cost of the same product
Too expensive cost
Struggle with finding new brand
Forget to buy
Forget to buy
Forget to buy
Forget to buy
Forget to buy
Too many items to buy at once
Buy too much off-list items
Hard to find some items
No promotion
No longer produced product
Want to try something new
Bad logistics
